iter	TotalF1	MultiClass
533	0.9057577888	0.2635824108
534	0.9057006849	0.2633681012
535	0.9057063584	0.2631467813
536	0.9058780244	0.2629688221
537	0.9064874101	0.2626866818
538	0.9062958017	0.262395385
539	0.9062214197	0.2621864934
540	0.9065961181	0.261915961
541	0.9065645677	0.2616827067
542	0.9063729899	0.2614871276
543	0.9063729899	0.2613510208
544	0.9068279311	0.2610112252
545	0.9066991397	0.26092077
546	0.9065445544	0.2608460407
547	0.9068256564	0.2605895399
548	0.9070229314	0.260427359
549	0.9069743117	0.2602538522
550	0.9071201671	0.2601237111
551	0.9071201671	0.2599647879
552	0.906622417	0.2598500574
553	0.906622417	0.2597697145
554	0.9070140795	0.2596410623
555	0.9075119093	0.2594610922
556	0.907935056	0.2592747241
557	0.9079836768	0.25914665
558	0.9081808846	0.2589429093
559	0.9081088512	0.2587633351
560	0.9080345507	0.2586632927
561	0.9083608856	0.258571374
562	0.9086067365	0.2583342056
563	0.9085932331	0.2581252313
564	0.9088503452	0.257980557
565	0.9089046493	0.2578005752
566	0.9089068843	0.2575764694
567	0.9089555272	0.2572633442
568	0.9089068843	0.257230223
569	0.9089046493	0.2570997251
570	0.9090320201	0.2568212762
571	0.9094953947	0.2566042456
572	0.9095926641	0.2563759906
573	0.9101937294	0.2562223999
574	0.9105146784	0.2560516511
575	0.910686281	0.2558977662
576	0.910686281	0.2557293609
577	0.9102853931	0.2556458529
578	0.9103340428	0.2554091379
579	0.910308405	0.2551765476
580	0.9103883265	0.2550346308
581	0.9104799845	0.2547734068
582	0.9104856175	0.2545766737
583	0.9105342611	0.2544160424
584	0.9105342611	0.2543498106
585	0.9107601132	0.2541718491
586	0.9107601132	0.2540915039
587	0.9109373208	0.2539305774
588	0.9111400863	0.2537516367
589	0.9113427893	0.2535760462
590	0.9112629283	0.2533825492
591	0.9114887348	0.2531814826
592	0.9116857182	0.2529013849
593	0.9116857182	0.2527550086
594	0.9117830202	0.2525952371
595	0.9119114826	0.2523766566
596	0.9119601328	0.2522908447
597	0.9119601328	0.2521468539
598	0.912131577	0.2519551414
599	0.9120574293	0.251819764
600	0.9120087816	0.2516153627
601	0.9120574293	0.2514767222
602	0.9122288753	0.2511550007
603	0.9119289637	0.2508614696
604	0.9119289637	0.2507715113
605	0.9118859834	0.2506023519
606	0.9119346288	0.2504679796
607	0.9119114826	0.2503865256
608	0.9117400394	0.250165056
609	0.912131577	0.2500158092
610	0.912131577	0.2499203175
611	0.9120342736	0.2498363356
612	0.9118373366	0.2496236838
613	0.9117886887	0.2494785576
614	0.9117886887	0.2493381438
615	0.9118373366	0.2491923724
616	0.9118373366	0.2490223169
617	0.9120087816	0.2488529365
618	0.9119601328	0.248716987
619	0.9119912896	0.2486323945
620	0.9121627088	0.2484933591
621	0.9122345393	0.248310812
622	0.9122831855	0.2482306432
623	0.9127075526	0.2480167876
624	0.9124562601	0.2479051038
625	0.9127890017	0.2477258097
626	0.9127890017	0.2476141267
627	0.9129859179	0.2474826399
628	0.9132315038	0.2474120263
629	0.913237169	0.2472249816
630	0.9133542923	0.2470492954
631	0.9131884783	0.2468420974
632	0.912935538	0.2466914858
633	0.9138565772	0.2463181647
634	0.9142810745	0.2461102842
635	0.9144235496	0.2459520183
636	0.9148265037	0.245779434
637	0.9150091912	0.2456449401
638	0.9149351976	0.2454541058
639	0.915254693	0.245284387
640	0.9144563187	0.2452134251
641	0.9152115083	0.2450693335
642	0.9148808311	0.2450145784
643	0.9150036076	0.2449299816
644	0.9151067175	0.2447257636
645	0.9152782375	0.2446252438
646	0.9151807094	0.2444466016
647	0.9151807094	0.2443463746
648	0.9152782375	0.2442026188
649	0.9154497576	0.244081709
650	0.9154497576	0.2440206289
651	0.9154497576	0.2439279314
652	0.9156088464	0.2437434555
653	0.915657614	0.2436665468
654	0.9160241486	0.2434921317
655	0.9159266203	0.2432846998
656	0.9158039093	0.2431945899
657	0.9157299561	0.2430027531
658	0.9161310785	0.2427671375
659	0.9168170961	0.242518099
660	0.9168910206	0.2423687176
661	0.9171113156	0.2422669714
662	0.9169398114	0.2421993961
663	0.9171349623	0.2419508173
664	0.916963455	0.2418760389
665	0.9171655922	0.241732321
666	0.9170807125	0.2414692492
667	0.9173804012	0.2413334828
668	0.9173804012	0.2412002978
669	0.9173316112	0.2411303881
670	0.9177806845	0.2409712089
671	0.9176312492	0.2408459838
672	0.9172631672	0.2407510939
673	0.9170122388	0.2406333218
674	0.9174291901	0.2405253778
675	0.9175519075	0.2404524514
676	0.9175322236	0.2403104713
677	0.9178751965	0.2402145862
678	0.9177091896	0.2401313005
679	0.9176840712	0.240062073
680	0.9173329407	0.2399626709
681	0.9176116181	0.2398888175
682	0.9173355951	0.2397338541
683	0.9173843739	0.2395768192
684	0.9177328506	0.239462683
685	0.9182612022	0.2392450548
686	0.9183099877	0.2391634279
687	0.9183099877	0.2389792815
688	0.9181872649	0.2388680514
689	0.9182612022	0.2387779266
690	0.9182124156	0.2387171381
691	0.9184090531	0.2385931067
692	0.9183114656	0.2385156747
693	0.9184578451	0.2383960824
694	0.9185805559	0.2383007889
695	0.9180788141	0.2382210978
696	0.9182015757	0.238066771
697	0.9184524467	0.2378934365
698	0.9188528759	0.2377312931
699	0.9190480605	0.2376119268
700	0.9189939928	0.2373880019
701	0.9189992661	0.2372581075
702	0.9188024608	0.2371559719
703	0.9187971455	0.2370614002
704	0.9192448516	0.2368609081
705	0.9195192865	0.2366874784
706	0.9197673414	0.2365208134
707	0.9197673414	0.2364587769
708	0.9193172382	0.2363357192
709	0.919693348	0.2362264422
710	0.919644535	0.236015948
711	0.9196986387	0.2358812302
712	0.9196986387	0.2357253937
713	0.9198267375	0.2355052071
714	0.9200471265	0.2352969847
715	0.9203256467	0.2351946276
716	0.9200471265	0.2350405423
717	0.9200959378	0.234902061
718	0.9199243597	0.2347582377
719	0.9199243597	0.2346940764
720	0.9203256467	0.2346159591
721	0.9203005378	0.2344922176
722	0.9203256467	0.2343876814
723	0.9205790314	0.2342332849
724	0.9208496448	0.2341129454
725	0.9207757322	0.2339363768
726	0.9208245897	0.2338186107
727	0.9207018118	0.2336261802
728	0.9206767349	0.2334058824
729	0.9207255848	0.2333639905
730	0.9211018218	0.2332395442
731	0.9211757446	0.2331253783
732	0.9212734881	0.233049063
733	0.9212972914	0.2329210457
734	0.9211744856	0.2328043643
735	0.9213461559	0.2326597448
736	0.9213950191	0.2325617795
737	0.9213950191	0.2324702982
738	0.9213950191	0.2323901205
739	0.9212972914	0.2322899343
740	0.9212722094	0.2322105983
741	0.9213210695	0.2321455868
742	0.9210912103	0.2320321105
743	0.9212140193	0.2319434851
744	0.9213672448	0.2317541414
745	0.9214160871	0.2316549141
746	0.9216459339	0.2314821385
747	0.9216697365	0.2314148539
748	0.9215930278	0.2312572927
749	0.9218717694	0.2310582727
750	0.9215137681	0.2309230357
751	0.9215137681	0.2308468919
752	0.9216167828	0.2307320698
753	0.9217091161	0.2306443219
754	0.9218067831	0.2305659498
755	0.9218556149	0.2304532504
756	0.9221012033	0.2303104584
757	0.9221012033	0.230142177
758	0.9226309668	0.2299218183
759	0.9225266983	0.2298284879
760	0.9227775441	0.2296079126
761	0.9228514585	0.2294164916
762	0.9230969957	0.229350853
763	0.9228025974	0.2291522932
764	0.9229742283	0.2289468097
765	0.9229742283	0.2288250226
766	0.9231553825	0.2287256135
767	0.9227286861	0.2285905016
768	0.9237181094	0.2284202445
769	0.9237419503	0.2281229122
770	0.9235214105	0.2280205542
771	0.9236930759	0.2279502784
772	0.9239875305	0.2278251373
773	0.923982377	0.2277002985
774	0.924080132	0.2276171716
775	0.9238833729	0.2274713051
776	0.9238094205	0.2273794235
777	0.9240061916	0.2272656906
778	0.9242016755	0.2271692071
779	0.9242068436	0.226995873
780	0.9244087422	0.226801465
781	0.9245064834	0.2266689053
782	0.924629261	0.2265407077
783	0.924585578	0.2263724616
784	0.9247083297	0.2262780839
785	0.9247083297	0.2262131304
786	0.9246344489	0.2261002905
787	0.9247572025	0.2260157548
788	0.9246344489	0.2258474734
789	0.9246344489	0.2257176323
790	0.9249776998	0.2255617426
791	0.9251004523	0.225404892
792	0.9251794696	0.2253385894
793	0.9253021938	0.2252949766
794	0.9253073585	0.2251471808
795	0.9253073585	0.2250825943
796	0.9253073585	0.2250040202
797	0.925586704	0.224823125
798	0.9257333979	0.2247871045
799	0.9258311883	0.2246583938
800	0.925586704	0.2245992984
801	0.9257822937	0.224464497
802	0.9258311883	0.2243107381
803	0.9257771308	0.2240917413
804	0.9262032532	0.2239806477
805	0.9260805068	0.2238743109
806	0.9262084152	0.2236981996
807	0.9255857527	0.2235630601
808	0.9256835309	0.2234231209
809	0.9261044888	0.2233459245
810	0.9259328245	0.2232568753
811	0.9260555796	0.2231334899
812	0.9263298289	0.2230074068
813	0.9265015425	0.2227551091
814	0.9264526075	0.2226553188
815	0.9266543162	0.2225890224
816	0.9267281222	0.2224067688
817	0.9265805029	0.2223307773
818	0.9268311237	0.222190696
819	0.9267839205	0.2220157638
820	0.9267839205	0.2219523947
821	0.9266611952	0.2218867523
822	0.9267590636	0.221842694
823	0.92671013	0.2217132258
824	0.9267083956	0.2216255382
825	0.9268362854	0.221526637
826	0.9268362854	0.2214001447
827	0.926886962	0.2213229166
828	0.9268362854	0.2211033364
829	0.9269830952	0.2209753414
830	0.9271795731	0.2208414828
831	0.9272285123	0.2207183548
832	0.9270568676	0.2206284731
833	0.9271058049	0.2205432836
834	0.9269830952	0.2204435344
835	0.9273263873	0.2203717895
836	0.9271547411	0.2202732171
837	0.9270320295	0.2201864638
838	0.9270809628	0.220079163
839	0.9273315438	0.2199697343
840	0.9273067193	0.2198441074
841	0.927424258	0.2197091658
842	0.9275521033	0.2196322893
843	0.9275031677	0.2195814593
844	0.9278026104	0.2194996065
845	0.9279004838	0.2193738391
846	0.9277047325	0.2192440992
847	0.9278026104	0.2191700683
848	0.9278026104	0.219094482
849	0.9279004838	0.2189301752
850	0.9279004838	0.2186567547
851	0.9280231497	0.2185767879
852	0.9280041233	0.2184970646
853	0.9278515477	0.2183156972
854	0.9276799459	0.2182011819
855	0.9278267489	0.2180927758
856	0.9280231497	0.2179925911
857	0.9282977535	0.2178943293
858	0.9281751061	0.2178057716
859	0.9282977535	0.2177435375
860	0.9284197585	0.2177019362
861	0.9285424151	0.2175818893
862	0.9285492971	0.2175126368
863	0.9284214675	0.2174153892
864	0.9283236161	0.2172925446
865	0.9283973389	0.2171928289
866	0.928529633	0.2170385621
867	0.9287012417	0.216932316
868	0.9286712944	0.2167887682
869	0.9283425583	0.2167384098
870	0.9288383572	0.2165346383
871	0.9286908976	0.2164528301
872	0.9289120764	0.2163183423
873	0.9286667765	0.2162229988
874	0.9287157043	0.2161374952
875	0.9288383572	0.216008427
876	0.9287157043	0.2159784374
877	0.9292304492	0.2158091763
878	0.9295246825	0.2156788666
879	0.9299025094	0.2155152833
880	0.9297798504	0.2154478367
